Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
407	407	4	1	1	1	3	1	2
408	408	1	2	2	2	2	1	3
409	409	2	2	3	2	2	1	1
410	410	1	3	4	1	3	1	0
411	411	1	3	3	2	3	0	0
412	412	2	2	2	1	2	1	2
413	413	2	1	2	2	2	3	1
414	414	1	3	3	1	3	1	1
415	415	4	2	3	0	1	1	2
416	416	2	1	1	3	2	1	1
417	417	0	1	1	2	4	2	3
418	418	2	3	3	1	3	1	0
419	419	2	1	1	5	2	1	1
420	420	1	2	1	3	2	3	1
421	421	2	1	2	1	2	1	1
422	422	5	1	1	1	2	1	1
423	423	5	1	3	1	0	0	0
424	424	4	2	3	2	2	0	0
425	425	2	1	2	3	2	1	2
426	426	1	2	2	3	3	2	0
427	427	2	3	3	2	1	1	1
428	428	5	2	2	1	1	1	1
429	429	0	4	0	0	3	4	2
430	430	0	1	1	2	2	2	4
431	431	1	2	2	3	2	1	2
432	432	1	2	1	2	2	1	1
433	433	3	4	3	2	0	0	0
434	434	3	2	1	2	2	2	1
435	435	0	0	3	3	2	1	1
436	436	2	3	4	1	3	0	0
437	437	0	2	2	1	1	1	3
438	438	3	1	2	1	3	1	2
439	439	2	2	2	3	2	1	1
440	440	1	3	3	2	3	0	1
441	441	4	1	1	1	2	1	3
442	442	4	0	2	3	2	1	1
443	443	2	1	3	0	2	2	3
444	444	1	2	3	1	1	2	3
445	445	1	4	2	1	2	1	2
446	446	2	1	2	2	1	2	0
447	447	2	1	2	2	2	2	1
448	448	1	3	7	1	0	1	0
449	449	3	2	2	2	2	2	0
450	450	3	2	1	2	1	2	2
451	451	2	2	2	2	3	1	1
452	452	4	1	1	2	3	1	1
453	453	3	3	2	2	1	1	1
454	454	2	2	2	1	2	3	1
455	455	3	2	2	1	2	1	2
456	456	2	2	3	0	5	1	0
457	457	1	3	1	2	2	1	3
458	458	0	4	3	3	2	1	0
459	459	1	1	1	1	1	2	2
460	460	2	1	2	6	1	1	0
461	461	1	2	3	1	3	1	2
462	462	3	3	3	2	0	2	0
463	463	2	1	1	4	3	1	1
464	464	1	3	3	2	2	1	1
465	465	1	2	2	3	2	2	1
466	466	2	2	2	1	2	2	2
467	467	1	0	1	3	7	0	1
468	468	2	1	2	3	3	1	1
469	469	2	2	2	2	3	1	1
470	470	1	1	2	2	2	1	2
471	471	2	2	1	1	1	1	1
472	472	2	1	1	4	3	1	1
473	473	1	2	1	1	2	1	3
474	474	4	1	2	1	1	1	2
475	475	1	1	2	1	1	1	1
476	476	0	3	3	2	3	0	0
477	477	2	1	1	2	4	1	1
478	478	2	2	2	2	2	2	0
479	479	3	2	1	1	2	2	1
480	480	2	1	2	2	2	2	1
481	481	1	4	2	2	1	1	1
482	482	4	2	1	1	2	1	1
483	483	2	4	3	0	3	0	0
484	484	4	1	2	2	1	1	1
485	485	3	1	2	2	3	0	1
486	486	1	1	1	2	1	2	3
487	487	1	4	5	1	1	0	0
488	488	0	5	2	1	2	1	1
489	489	5	1	2	2	0	1	1
490	490	4	1	2	1	1	1	2
491	491	4	1	2	2	1	1	1
492	492	1	2	1	1	2	2	2
493	493	1	1	1	2	2	1	4
494	494	2	1	2	1	2	1	2
495	495	1	2	4	1	3	0	1
496	496	2	1	1	1	2	1	2
497	497	3	1	1	1	1	1	1
498	498	2	3	3	1	3	0	0
499	499	1	1	1	1	1	1	2
500	500	1	1	1	1	2	1	2
501	501	2	3	2	0	2	1	1
502	502	1	3	2	2	2	1	1
503	503	5	1	2	1	1	1	1
504	504	2	1	1	4	2	1	1
505	505	0	1	1	4	3	2	1
506	506	2	2	1	1	4	1	1
507	507	2	1	1	1	1	1	1
508	508	0	0	1	1	2	7	1
509	509	1	2	1	3	1	1	1
510	510	0	3	3	2	3	1	0
511	511	2	2	2	3	1	1	1
512	512	1	2	2	1	3	2	1
513	513	1	2	2	2	3	1	1
514	514	1	4	2	2	2	0	1
515	515	1	1	5	1	1	3	0
516	516	0	2	6	2	2	0	0
517	517	2	1	1	1	1	1	1
518	518	1	3	3	1	2	1	1
519	519	1	1	1	1	1	2	1
520	520	4	2	2	2	1	1	0
521	521	3	1	2	3	1	1	1
522	522	3	2	2	1	1	1	2
523	523	1	2	1	2	1	3	2
524	524	3	2	4	0	2	1	0
525	525	3	2	1	1	2	1	1
526	526	5	1	1	1	2	1	1
527	527	1	2	4	3	1	1	0
528	528	1	1	2	2	4	1	1
529	529	5	1	1	1	2	1	1
530	530	3	1	1	1	2	3	1
531	531	3	3	1	1	1	3	0
532	532	1	2	5	1	1	1	1
533	533	3	2	3	1	1	1	1
534	534	1	3	1	1	1	2	3
