model_id,gene,isoform
3119295,DN28733_c0_g2,1
3119296,DN28745_c0_g1,1
3119297,DN28745_c0_g2,1
3119298,DN28711_c0_g1,1
3119299,DN28717_c0_g1,1
3119300,DN28718_c0_g1,1
3119301,DN28746_c0_g1,1
3119302,DN28746_c0_g2,1
3119303,DN28705_c0_g1,1
3119304,DN28734_c0_g1,1
3119305,DN28721_c0_g1,1
3119306,DN28760_c0_g1,1
3119307,DN28770_c0_g1,1
3119308,DN28719_c0_g1,1
3119309,DN28706_c0_g1,1
3119310,DN28754_c0_g1,1
3119311,DN28787_c0_g1,1
3119312,DN28700_c0_g1,1
3119313,DN28791_c0_g1,1
3119314,DN28774_c0_g1,1
3119315,DN28762_c0_g1,1
3119316,DN28762_c0_g2,1
3119317,DN28704_c0_g1,1
3119318,DN28704_c0_g2,1
3119319,DN28777_c0_g1,1
3119320,DN28777_c0_g1,2
3119321,DN28771_c0_g1,1
3119322,DN28710_c0_g1,1
3119323,DN28796_c0_g1,1
3119324,DN28768_c0_g1,1
3119325,DN28788_c0_g1,1
3119326,DN28788_c0_g2,1
3119327,DN28756_c0_g1,1
3119328,DN28736_c0_g1,1
3119329,DN28781_c0_g1,1
3119330,DN28709_c0_g1,1
3119331,DN28707_c0_g1,1
3119332,DN28766_c0_g1,1
3119333,DN28766_c0_g2,1
3119334,DN28703_c0_g1,1
3119335,DN28765_c0_g1,1
3119336,DN28782_c0_g1,1
3119337,DN28782_c0_g2,1
3119338,DN28738_c0_g1,1
3119339,DN28772_c0_g1,1
3119340,DN28769_c0_g1,1
3119341,DN28722_c0_g1,1
3119342,DN28735_c0_g1,1
3119343,DN28752_c0_g1,1
3119344,DN28752_c0_g1,2
3119345,DN28740_c0_g1,1
3119346,DN28767_c0_g1,1
3119347,DN28767_c0_g1,2
3119348,DN28731_c0_g1,1
3119349,DN28731_c0_g2,1
3119350,DN28783_c0_g1,1
3119351,DN28783_c0_g2,1
3119352,DN28792_c0_g1,1
3119353,DN28784_c0_g1,1
3119354,DN28784_c0_g2,1
3119355,DN28729_c0_g1,1
3119356,DN28727_c0_g1,1
3119357,DN28750_c0_g1,1
3119358,DN28789_c0_g1,1
3119359,DN28773_c0_g1,1
3119360,DN12406_c0_g1,1
3119361,DN12406_c0_g2,1
3119362,DN12463_c0_g1,1
3119363,DN12463_c0_g2,1
3119364,DN12483_c0_g1,1
3119365,DN12483_c0_g2,1
3119366,DN12498_c0_g1,1
3119367,DN12464_c0_g1,1
3119368,DN12464_c0_g2,1
3119369,DN12423_c0_g1,1
3119370,DN12423_c0_g1,2
3119371,DN12421_c0_g1,1
3119372,DN12421_c0_g2,1
3119373,DN12412_c0_g1,1
3119374,DN12412_c0_g2,1
3119375,DN12484_c0_g1,1
3119376,DN12484_c0_g1,2
3119377,DN12443_c0_g1,1
3119378,DN12443_c0_g2,1
3119379,DN12440_c0_g1,1
3119380,DN12440_c0_g2,1
3119381,DN12440_c0_g3,1
3119382,DN12440_c0_g4,1
3119383,DN12440_c0_g5,1
3119384,DN12440_c0_g6,1
3119385,DN12496_c0_g1,1
3119386,DN12425_c0_g1,1
3119387,DN12425_c0_g2,1
3119388,DN12420_c0_g1,1
3119389,DN12420_c0_g2,1
3119390,DN12422_c0_g1,1
3119391,DN12422_c0_g2,1
3119392,DN12427_c0_g1,1
3119393,DN12417_c0_g1,1
3119394,DN12455_c0_g1,1
3119395,DN12455_c0_g1,2
3119396,DN12403_c0_g1,1
3119397,DN12465_c0_g1,1
3119398,DN12465_c0_g1,2
3119399,DN12465_c0_g1,3
3119400,DN12482_c0_g1,1
3119401,DN12482_c0_g1,2
3119402,DN12458_c0_g1,1
3119403,DN12458_c0_g1,2
3119404,DN12473_c0_g1,1
3119405,DN12473_c0_g2,1
3119406,DN12473_c0_g3,1
3119407,DN12479_c0_g1,1
3119408,DN12457_c0_g1,1
3119409,DN12457_c0_g2,1
3119410,DN12400_c0_g1,1
3119411,DN12400_c0_g2,1
3119412,DN12475_c0_g1,1
3119413,DN12475_c0_g2,1
3119414,DN12430_c0_g1,1
3119415,DN12430_c0_g1,2
3119416,DN12428_c0_g1,1
3119417,DN12428_c0_g2,1
3119418,DN12426_c0_g1,1
3119419,DN12426_c0_g2,1
3119420,DN12486_c0_g1,1
3119421,DN12471_c0_g1,1
3119422,DN12471_c1_g1,1
3119423,DN12456_c0_g1,1
3119424,DN12456_c0_g2,1
3119425,DN12442_c0_g1,1
3119426,DN12442_c0_g1,2
3119427,DN12404_c0_g1,1
3119428,DN12404_c0_g2,1
3119429,DN12438_c0_g1,1
3119430,DN12438_c0_g2,1
3119431,DN12438_c0_g3,1
3119432,DN12447_c0_g1,1
3119433,DN12447_c0_g1,2
3119434,DN12454_c0_g1,1
3119435,DN12454_c0_g1,2
3119436,DN12454_c0_g2,1
3119437,DN12414_c0_g1,1
3119438,DN12499_c0_g1,1
3119439,DN12408_c0_g1,1
3119440,DN12408_c0_g2,1
3119441,DN12450_c0_g1,1
3119442,DN12450_c0_g2,1
3119443,DN12450_c0_g3,1
3119444,DN12487_c0_g1,1
3119445,DN12487_c0_g2,1
3119446,DN12451_c0_g1,1
3119447,DN12451_c0_g2,1
3119448,DN12451_c0_g3,1
3119449,DN12402_c0_g1,1
3119450,DN12402_c0_g1,2
3119451,DN12439_c0_g1,1
3119452,DN12434_c0_g1,1
3119453,DN12491_c0_g1,1
3119454,DN12491_c0_g2,1
3119455,DN12459_c0_g1,1
3119456,DN12459_c0_g1,2
3119457,DN12459_c0_g2,1
3119458,DN12466_c0_g1,1
3119459,DN12452_c0_g1,1
3119460,DN12452_c0_g2,1
3119461,DN12453_c0_g1,1
3119462,DN12453_c0_g1,2
3119463,DN12431_c0_g1,1
3119464,DN12431_c0_g2,1
3119465,DN12489_c0_g1,1
3119466,DN12474_c0_g1,1
3119467,DN12474_c0_g1,2
3119468,DN12437_c0_g1,1
3119469,DN12437_c0_g2,1
3119470,DN12448_c0_g1,1
3119471,DN12445_c0_g1,1
3119472,DN12445_c0_g2,1
3119473,DN12401_c0_g1,1
3119474,DN12401_c0_g2,1
3119475,DN12401_c0_g3,1
3119476,DN12436_c0_g1,1
3119477,DN12436_c0_g2,1
3119478,DN12460_c0_g1,1
3119479,DN12411_c0_g1,1
3119480,DN12411_c0_g2,1
3119481,DN12493_c0_g1,1
3119482,DN12493_c0_g2,1
3119483,DN12490_c0_g1,1
3119484,DN12490_c0_g2,1
3119485,DN12476_c0_g1,1
3119486,DN12476_c0_g2,1
3119487,DN12461_c0_g1,1
3119488,DN12492_c0_g1,1
3119489,DN12492_c0_g2,1
3119490,DN12467_c0_g1,1
3119491,DN12467_c0_g1,2
3119492,DN12419_c0_g1,1
3119493,DN12419_c0_g2,1
3119494,DN12424_c0_g1,1
3119495,DN12424_c0_g2,1
3119496,DN12462_c0_g1,1
3119497,DN12495_c0_g1,1
3119498,DN12495_c0_g2,1
3119499,DN12468_c0_g1,1
3119500,DN12468_c0_g2,1
3119501,DN12444_c0_g1,1
3119502,DN12415_c0_g1,1
3119503,DN12415_c0_g1,2
3119504,DN12416_c0_g1,1
3119505,DN12405_c1_g1,1
3119506,DN12405_c1_g1,2
3119507,DN12435_c0_g1,1
3119508,DN12435_c0_g1,2
3119509,DN12435_c0_g1,3
3119510,DN12435_c0_g1,4
3119511,DN12435_c0_g1,5
3119512,DN12469_c0_g1,1
3119513,DN12469_c0_g2,1
3119514,DN12480_c0_g1,1
3119515,DN12480_c0_g1,2
3119516,DN12488_c0_g1,1
3119517,DN12488_c0_g2,1
3119518,DN12497_c0_g1,1
3119519,DN12497_c0_g2,1
3119520,DN12497_c0_g2,2
3119521,DN12407_c0_g1,1
3119522,DN12407_c0_g1,2
3119523,DN12433_c0_g1,1
3119524,DN12433_c0_g2,1
3119525,DN12433_c0_g3,1
3119526,DN12494_c0_g1,1
3119527,DN12494_c0_g2,1
3119528,DN12494_c0_g3,1
3119529,DN12470_c0_g1,1
3119530,DN12470_c0_g2,1
3119531,DN12410_c0_g1,1
3119532,DN12432_c0_g1,1
3119533,DN12446_c0_g1,1
3119534,DN12446_c0_g1,2
3119535,DN4795_c0_g1,1
3119536,DN4747_c0_g1,1
3119537,DN4709_c0_g1,1
3119538,DN4709_c0_g2,1
3119539,DN4715_c0_g1,1
3119540,DN4715_c0_g2,1
3119541,DN4722_c0_g1,1
3119542,DN4722_c0_g2,1
3119543,DN4775_c0_g1,1
3119544,DN4791_c0_g1,1
3119545,DN4746_c0_g1,1
3119546,DN4746_c0_g2,1
3119547,DN4703_c0_g1,1
3119548,DN4760_c0_g1,1
3119549,DN4760_c0_g2,1
3119550,DN4749_c0_g1,1
3119551,DN4749_c0_g2,1
3119552,DN4773_c0_g1,1
3119553,DN4773_c0_g2,1
3119554,DN4718_c0_g1,1
3119555,DN4751_c0_g1,1
3119556,DN4751_c1_g1,1
3119557,DN4727_c0_g1,1
3119558,DN4778_c0_g1,1
3119559,DN4778_c0_g1,2
3119560,DN4762_c0_g1,1
3119561,DN4721_c0_g1,1
3119562,DN4721_c0_g2,1
3119563,DN4785_c0_g1,1
3119564,DN4785_c0_g2,1
3119565,DN4796_c0_g1,1
3119566,DN4796_c0_g2,1
3119567,DN4788_c0_g1,1
3119568,DN4759_c0_g1,1
3119569,DN4743_c0_g1,1
3119570,DN4707_c0_g1,1
3119571,DN4707_c0_g1,2
3119572,DN4761_c0_g1,1
3119573,DN4794_c0_g1,1
3119574,DN4799_c0_g1,1
3119575,DN4772_c0_g1,1
3119576,DN4786_c0_g1,1
3119577,DN4786_c0_g1,2
3119578,DN4787_c0_g1,1
3119579,DN4700_c0_g1,1
3119580,DN4729_c0_g1,1
3119581,DN4734_c0_g1,1
3119582,DN4734_c0_g2,1
3119583,DN4768_c0_g1,1
3119584,DN4768_c0_g2,1
3119585,DN4768_c0_g3,1
3119586,DN4769_c0_g1,1
3119587,DN4769_c0_g2,1
3119588,DN4713_c0_g1,1
3119589,DN4723_c0_g1,1
3119590,DN4735_c0_g1,1
3119591,DN4735_c0_g2,1
3119592,DN4735_c0_g3,1
3119593,DN4728_c0_g1,1
3119594,DN4728_c0_g2,1
3119595,DN4754_c0_g1,1
