model_id,gene,isoform
241456,DN19777_c0_g1,1
241457,DN19727_c0_g1,1
241458,DN19785_c0_g1,1
241459,DN19754_c0_g1,1
241460,DN19702_c0_g1,1
241461,DN19765_c0_g1,1
241462,DN19755_c0_g1,1
241463,DN19725_c0_g1,1
241464,DN19762_c0_g1,1
241465,DN19751_c0_g1,1
241466,DN19716_c0_g1,1
241467,DN19721_c0_g1,1
241468,DN19786_c0_g1,1
241469,DN19731_c0_g1,1
241470,DN19771_c0_g1,1
241471,DN19797_c0_g1,1
241472,DN19783_c0_g1,1
241473,DN19705_c0_g1,1
241474,DN19717_c0_g1,1
241475,DN19763_c0_g1,1
241476,DN19743_c0_g1,1
241477,DN19747_c0_g1,1
241478,DN19798_c0_g1,1
241479,DN0_c0_g1,1
241480,DN59_c0_g1,1
241481,DN59_c0_g2,1
241482,DN9_c0_g1,1
241483,DN9_c0_g2,1
241484,DN47_c0_g1,1
241485,DN65_c0_g1,1
241486,DN57_c0_g1,1
241487,DN25_c0_g1,1
241488,DN44_c0_g1,1
241489,DN16_c0_g1,1
241490,DN34_c0_g1,1
241491,DN4_c0_g1,1
241492,DN14_c0_g1,1
241493,DN32_c0_g1,1
241494,DN66_c0_g1,1
241495,DN6_c0_g1,1
241496,DN6_c0_g1,2
241497,DN6_c0_g2,1
241498,DN89_c0_g1,1
241499,DN49_c0_g1,1
241500,DN56_c0_g1,1
241501,DN92_c0_g1,1
241502,DN92_c0_g2,1
241503,DN27_c0_g1,1
241504,DN7_c0_g1,1
241505,DN77_c0_g1,1
241506,DN58_c0_g1,1
241507,DN37_c0_g1,1
241508,DN11_c0_g1,1
241509,DN85_c0_g1,1
241510,DN41_c0_g1,1
241511,DN30_c0_g1,1
241512,DN82_c0_g1,1
241513,DN88_c0_g1,1
241514,DN38_c0_g1,1
241515,DN10_c0_g1,1
241516,DN10_c0_g2,1
241517,DN35_c0_g1,1
241518,DN35_c0_g1,2
241519,DN13_c0_g1,1
241520,DN48_c0_g1,1
241521,DN48_c0_g2,1
241522,DN17_c0_g1,1
241523,DN17_c0_g1,2
241524,DN68_c0_g1,1
241525,DN42_c0_g1,1
241526,DN20_c0_g1,1
241527,DN20_c0_g1,2
241528,DN67_c0_g1,1
241529,DN12_c0_g1,1
241530,DN31_c0_g1,1
241531,DN21_c0_g1,1
241532,DN21_c0_g1,2
241533,DN24_c0_g1,1
241534,DN29_c0_g1,1
241535,DN26_c0_g1,1
241536,DN26_c0_g1,2
241537,DN69_c0_g1,1
241538,DN96_c0_g1,1
241539,DN96_c0_g2,1
241540,DN79_c0_g1,1
241541,DN64_c0_g1,1
241542,DN8_c0_g1,1
241543,DN52_c0_g1,1
241544,DN23_c0_g1,1
241545,DN84_c0_g1,1
241546,DN73_c0_g1,1
241547,DN70_c0_g1,1
241548,DN70_c0_g2,1
241549,DN86_c0_g1,1
241550,DN86_c0_g1,2
241551,DN97_c0_g1,1
241552,DN46_c0_g1,1
241553,DN46_c0_g1,2
241554,DN28_c0_g1,1
241555,DN5_c0_g1,1
241556,DN43_c0_g1,1
241557,DN2_c0_g1,1
241558,DN63_c0_g1,1
241559,DN36_c0_g1,1
241560,DN36_c0_g2,1
241561,DN80_c0_g1,1
241562,DN80_c0_g1,2
241563,DN87_c0_g1,1
241564,DN94_c0_g1,1
241565,DN76_c0_g1,1
241566,DN76_c0_g1,2
241567,DN74_c0_g1,1
241568,DN15_c0_g1,1
241569,DN15_c0_g2,1
241570,DN19_c0_g1,1
241571,DN19_c0_g2,1
241572,DN72_c0_g1,1
241573,DN72_c0_g2,1
241574,DN55_c0_g1,1
241575,DN55_c0_g2,1
241576,DN18_c0_g1,1
241577,DN51_c0_g1,1
241578,DN90_c0_g1,1
241579,DN90_c0_g1,2
241580,DN91_c0_g1,1
241581,DN91_c0_g1,2
241582,DN3_c0_g1,1
241583,DN98_c0_g1,1
241584,DN40_c0_g1,1
241585,DN50_c0_g1,1
241586,DN50_c0_g1,2
241587,DN60_c0_g1,1
241588,DN60_c0_g2,1
241589,DN95_c0_g1,1
241590,DN78_c0_g1,1
241591,DN33_c0_g1,1
241592,DN1_c0_g1,1
241593,DN1_c0_g2,1
241594,DN54_c0_g1,1
241595,DN54_c0_g2,1
